['388', 'Carslaw Wet Lab 302', 'F07.302']
['382', 'Carslaw Wet Lab 307', 'F07.307']
['391', 'Carslaw Wet Lab 308', 'F07.308']
['1868', 'Castlereagh Boardroom', 'C13B.16BD']
['1869', 'Castlereagh Lounge', 'C13B.16L']
['1944', 'Castlereagh LR 1602-1603', 'C13B.16023']
['1876', 'Castlereagh LR 1602 (LR4)', 'C13B.1602']
['1877', 'Castlereagh LR 1603 (LR5)', 'C13B.1603']
['1873', 'Castlereagh LR 1703 (LR1)', 'C13B.1703']
['1945', 'Castlereagh LR 1709-1710', 'C13B.17091']
['1874', 'Castlereagh LR 1709 (LR2)', 'C13B.1709']
['1875', 'Castlereagh LR 1710 (LR3)', 'C13B.1710']
['1870', 'Castlereagh MR 1', 'C13B.18M1']
['1871', 'Castlereagh MR 2', 'C13B.18M2']
['1872', 'Castlereagh MR 3', 'C13B.18M3']
['1878', 'Castlereagh SR 1613', 'C13B.1613']
['1850', 'Castlereagh SR 1804', 'C13B.1804']
['1898', 'Castlereagh SR 1804-1805', 'C13B.1804.1805']
['1851', 'Castlereagh SR 1805', 'C13B.1805']
['1852', 'Castlereagh SR 1813', 'C13B.1813']
['1853', 'Castlereagh SR 1814', 'C13B.1814']
['560', 'Centenary Institute LT', 'CILT']
['1678', 'CET Room 527', 'G01.527']
['1679', 'CET Room 528', 'G01.528']
['401', 'Chem Eng Computer Lab 350', 'J01.350']
['50', 'Chemical Eng Lect Rm 1', 'J01.201']
['49', 'Chemical Eng Lect Rm 2', 'J01.301']
['1674', 'Chemical Eng Rm 208', 'J01.208']
['1658', 'Chemical Eng Rm 314', 'J01.314']
['1514', 'Chemical Eng Rm 314A', 'J01.314A']
['1623', 'Chemical Eng Rm 359', 'J01.359']
['1659', 'Chemical Eng Rm 366', 'J01.366']
['386', 'Chemical Eng Tut Lab 252', 'CETR252']
['555', 'Chemistry Lab Level 3', 'CHEML3']
['556', 'Chemistry Lab Level 4', 'CHEML4']
['3', 'Chemistry Lect Theatre 1', 'F11.145']
['37', 'Chemistry Lect Theatre 2', 'F11.144']
['1', 'Chemistry Lect Theatre 3', 'F11.238']
['36', 'Chemistry Lect Theatre 4', 'F11.236']
['410', 'Chemistry School', 'CHS']
['1941', 'Chemistry Tutorial Rm 146', 'F11.146']
['1285', 'Chemistry Tutorial Rm 239', 'F11.239']
['1856', 'Chemistry Wet Lab 422-441', 'F11.422']
['1214', 'Chemistry Wet Lab 521', 'F11.521']
['1722', 'Chemistry Wet Lab 524', 'F11.524']
['622', 'Chemistry Wet Lab A - 231', 'F11.231']
['621', 'Chemistry Wet Lab B - 225', 'F11.225']
['408', 'Chemistry Wet Lab C - 220', 'F11.220']
['623', 'Chemistry Wet Lab D - 216', 'F11.216']
['1547', 'Chris Brennan Rm A2.17', 'A18.A217']
['1421', 'Civil Eng 379', 'J05.379']
['400', 'Civil Eng Dry Lab 282', 'J05.282']
['1195', 'Civil Eng Fluids Lab', 'J05.250']
['39', 'Civil Eng Lect Rm 1', 'J05.203']
['100', 'Civil Eng Lect Rm 2', 'J05.211']
['41', 'Civil Eng Lect Rm 3', 'J05.302']
['109', 'Civil Eng Lect Rm 4', 'J05.304']
['98', 'Civil Eng Lect Rm 5', 'J05.311']
['43', 'Civil Eng Seminar Rm 361', 'J05.361']
['1211', 'Civil Eng Soil Mech Lab', 'J05.244']
['740', 'Civil Eng Survey Lab 104', 'J05.104']
['1186', 'Clubman Assembly S173', 'ME.CA']
['54', 'Clunies Ross Lect Theatre', 'B01.203']
['1113', 'CNC Mill Lab - Room S120', 'J07.S120']
['580', 'Codrington Computer Lab 1', 'H69.151']
['581', 'Codrington Computer Lab 2', 'H69.145']
['582', 'Codrington Computer Lab 3', 'H69.142']
['583', 'Codrington Computer Lab 4', 'H69.139']
['584', 'Codrington Computer Lab 5', 'H69.133']
['697', 'Computer Group Room 6.3', 'RPAHC63']
['698', 'Computer Group Room 6.4', 'RPAHC64']
['696', 'Computer Seminar Room 6.2', 'RPAHCR62']
['1001', 'Con Atrium', 'ATRIUM']
['937', 'Con Brass Studio 2159', 'C41.2159']
['1024', 'Con Computer Lab 1030', 'C41.1030']
['1023', 'Con Computer Lab 1031', 'C41.1031']
